user_id,original_query,rewritten_query
,neural networks,"neural ranking models for passage retrieval in information retrieval, focusing on efficiency and domain adaptation, with conference papers published between 2019 and 2023"
,deep learning,"Research papers published between 2020 and 2024 on the application of deep learning in recommender systems, specifically focusing on sequential recommendation with transformers, addressing the cold-start problem and scalability issues, including both survey and empirical studies."
,BERT models,"Empirical studies published between 2021 and 2024 that focus on cross-lingual transfer learning for low-resource Asian languages using mBERT and XLM-R, specifically examining language typology and performance, while excluding English-only experiments, and utilizing quantitative analyses and relevant experimental setups."
,transformers,"Research papers published between 2020 and 2024 on novel methods in vision transformers for object detection, specifically focusing on DETR variants and patch embedding strategies, with an emphasis on computational efficiency and small object detection, preferably with available code."
,graph learning,"Theoretical analysis and scalability of graph neural networks for node classification, focusing on foundational papers and recent surveys published between 2018 and 2023."
,question answering,"Empirical studies published between 2020 and 2024 on conversational question answering over knowledge bases, focusing on multi-hop reasoning, context tracking, benchmark datasets, and evaluation metrics."
,reinforcement learning,"Research papers from 2022 to 2024 on both theoretical and empirical aspects of reinforcement learning from human feedback for large language models, focusing on scalability, reward hacking, and safety."
,sentiment,"Research papers on aspect-based sentiment analysis for product reviews, published between 2019 and 2024, focusing on empirical studies related to aspect extraction, opinion mining, and multi-aspect sentiment analysis."
,distributed learning,"Research papers published between 2020 and 2024 that focus on novel methods in federated learning with non-IID data, specifically addressing convergence guarantees and privacy-utility tradeoffs, without a specific application area in mind."
,NLP extraction,"I am looking for surveys and representative methods on joint entity and relation extraction using any transformer-based approaches, focusing on dataset benchmarks and low-resource scenarios, published between 2020 and 2024 in venues like ACL, EMNLP, and NAACL, without a specific language focus."
,model robustness,"Research papers on model robustness in Machine Learning Security, specifically adversarial attacks on vision transformers, published between 2021 and 2024, focusing on novel methods such as attention-based attacks, patch-based perturbations, and certified defenses."
,conversational AI,"Research papers on task-oriented dialogue systems focusing on few-shot adaptation and multi-domain transfer in end-to-end learning, published between 2020 and 2024, emphasizing empirical studies that include code related to dialogue state tracking, policy learning, and GPT-based dialogue systems."
,interpretability,"Research papers on attention-based explanations for NLP models, focusing on evaluation metrics and human studies, published between 2019 and 2024."
,medical imaging,"deep learning techniques for medical image segmentation, specifically U-Net variants and 3D organ segmentation, focusing on papers published between 2020 and 2024 that address issues like limited training data and clinical validation, without a specific medical domain."
,forecasting,"novel methods with benchmarks for multivariate time series forecasting using transformer-based models, focusing on long sequence modeling and missing data handling, published between 2021 and 2024"
,code generation,"Empirical studies published between 2021 and 2024 that focus on evaluation benchmarks and security implications of large language models for code generation and completion, without a specific application area in mind."
,causal models,"Research papers on the theoretical aspects of causal representation learning in deep neural networks, focusing on identifiability guarantees and practical algorithms, published between 2020 and 2024."
,speech processing,"Research papers from 2020 to 2024 on end-to-end speech recognition using transformers, focusing on topics like wav2vec, conformer, and streaming ASR, particularly in low-resource languages and noisy environments, preferably from conferences such as ICASSP, Interspeech, NeurIPS, and ICML."
,few-shot learning,"Papers published between 2019 and 2024 on theoretical studies and methodologies related to task-agnostic meta-learning for few-shot classification, focusing on MAML variants, metric learning, and prototypical networks, with an emphasis on theoretical guarantees and computational efficiency, specifically from reputable venues like ICML, NeurIPS, and ICLR."
,vision language,"Research papers on novel methods in vision-language pre-training for image-text retrieval, focusing on zero-shot transfer and scalability to web-scale data, published between 2021 and 2024, excluding image captioning."
